#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2698886,89119,RES,A-ER,5403 Tamarus ST,"$560,000 ",1STORY,SFR,"1,904",5,2,2,N,N,1971,,199
1,2745375,89142,RES,A-ER,5115 Blossom AVE,"$559,900 ",2STORY,SFR,"2,204",5,3,3,Y,Y,1994,,16
1,2687159,89015,RES,A-ER,66 Via Montoro,"$559,900 ",2STORY,SFR,"2,723",5,3,2,N,N,2025,,239
1,2720985,89147,RES,A-ER,4411 Elk Point CIR,"$555,000 ",2STORY,SFR,"1,959",5,3,2,Y,Y,1997,,122
1,2709800,89113,RES,A-ER,8133 Bearpoppy CT,"$555,000 ",2STORY,SFR,"2,423",5,3,2,N,N,2025,,162
1,2682323,89148,RES,A-ER,9173 Verdugo Ridge CT,"$555,000 ",2STORY,SFR,"2,460",5,3,2,N,N,2016,,240
1,2744815,89166,RES,A-ER,10207 Canyon Mantle ST,"$550,000 ",2STORY,SFR,"2,466",5,3,2,N,N,2023,,19
1,2743566,89108,RES,A-ER,1624 Crisp Pear CT,"$550,000 ",2STORY,SFR,"2,481",5,4,2,N,N,2019,,25
1,2741678,89032,RES,A-ER,1220 Earth CT,"$550,000 ",2STORY,SFR,"3,028",5,3,3,N,N,2007,,38
1,2737442,89149,RES,A-ER,9230 Wittig AVE,"$550,000 ",2STORY,SFR,"2,948",5,3,2,N,N,2013,,59
1,2735077,89121,RES,A-ER,2659 Vegas Valley DR,"$550,000 ",2STORY,SFR,"2,004",5,3,2,Y,N,1965,,69
1,2734753,89141,RES,A-ER,9818 Marietta Cellars CT,"$550,000 ",3STORY,SFR,"2,667",5,3,2,N,N,2018,,37
1,2711612,89130,RES,A-ER,4916 Tindari ST,"$550,000 ",2STORY,SFR,"2,805",5,4,2,N,N,2003,,54
1,2732714,89119,RES,A-ER,4774 Walteta WAY,"$549,999 ",1STORY,SFR,"2,307",5,2,3,N,Y,1978,,79
1,2717757,89166,RES,A-ER,10941 Oregano AVE,"$549,999 ",2STORY,SFR,"2,718",5,4,2,N,Y,2022,,132
1,2750296,89084,RES,A-ER,1321 Pamela Springs Ln DR #45,"$549,990 ",2STORY,SFR,"3,000",5,3,2,N,N,2026,,0
1,2669577,89032,RES,A-ER,1209 Equator AVE,"$549,900 ",2STORY,SFR,"3,247",5,4,3,N,N,2006,,296
1,2719634,89141,RES,A-ER,4456 Swimming Minnow AVE,"$549,000 ",2STORY,SFR,"2,476",5,4,2,N,N,2023,,126
1,2710460,89178,RES,A-ER,9856 Chief Sky ST,"$548,999 ",2STORY,SFR,"2,763",5,3,3,N,N,2010,,160
1,2748603,89166,RES,A-ER,10968 Lancaster Park AVE,"$545,000 ",2STORY,SFR,"2,651",5,3,2,N,N,2024,,3
1,2728273,89130,RES,A-ER,6082 Rose Springs AVE,"$545,000 ",2STORY,SFR,"2,718",5,4,2,N,N,2020,,95
1,2714411,89139,RES,A-ER,7881 Tyrell Peaks ST,"$545,000 ",2STORY,SFR,"2,290",5,3,2,N,N,2022,,139
1,2706053,89032,RES,A-ER,1175 Willow Berry AVE,"$545,000 ",2STORY,SFR,"2,944",5,3,2,N,Y,2022,,174
1,2665009,89084,RES,A-ER,3807 Andorian AVE,"$545,000 ",2STORY,SFR,"2,643",5,3,2,N,N,2022,,301
1,2743119,89130,RES,A-ER,6088 Castle Gardens AVE,"$541,000 ",2STORY,SFR,"2,718",5,4,2,N,N,2021,,18
1,2711020,89005,RES,A-ER,624 Avenue H,"$540,000 ",2STORY,SFR,"1,963",5,3,1,N,N,1942,,148
1,2736524,89179,RES,A-ER,7063 Bering Strait AVE,"$539,900 ",2STORY,SFR,"2,804",5,4,2,N,N,2016,,62
1,2738223,89121,RES,A-ER,3153 Elmrock PL,"$539,888 ",2STORY,SFR,"2,582",5,4,0,Y,Y,1977,,53
1,2749033,89031,RES,A-ER,5245 Dawn Break Canyon ST,"$539,417 ",2STORY,SFR,"2,562",5,3,2,N,N,2004,,4
1,2735547,89130,RES,A-ER,4278 Eagle Island,"$539,000 ",2STORY,SFR,"2,718",5,4,2,N,N,2019,,66
1,2739286,89113,RES,A-ER,8003 Adelaide Hills ST,"$538,000 ",2STORY,SFR,"2,203",5,3,2,N,N,2022,,49
1,2726329,89148,RES,A-ER,8867 Bonneville Peak CT,"$538,000 ",3STORY,SFR,"3,140",5,4,2,N,N,2006,,99
